Timestamp,Detected,X,Y,Radius (px)
0.035,0,-1,-1,-1
0.396,0,-1,-1,-1
0.461,0,-1,-1,-1
0.528,0,-1,-1,-1
0.586,0,-1,-1,-1
0.628,0,-1,-1,-1
0.671,1,210,17,18
0.702,1,205,44,19
0.731,1,199,106,18
0.765,1,193,145,19
0.801,1,188,187,19
0.838,1,179,287,20
0.868,1,175,345,20
0.897,1,174,407,21
0.93,0,-1,-1,-1
0.966,0,-1,-1,-1
0.999,0,-1,-1,-1
