Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,0,-1,-1,0,2
0.1,0,-1,-1,0,2
0.16,0,-1,-1,0,2
0.23,0,1,48,4.12,2
0.29,0,2,69,7.07,2
0.33,0,4,99,9.39,2
0.37,1,9,142,13.3,2
0.41,1,33,187,14.3,2
0.44,1,52,209,15.12,2
0.47,1,75,232,15.75,2
0.5,1,102,252,17.26,2
0.53,1,170,283,20.73,2
0.56,1,209,293,22.08,2
0.6,1,251,299,22.28,2
0.62,1,294,299,21.59,2
0.66,1,378,285,19.5,2
0.7,1,417,271,18.67,2
0.72,1,454,254,18.45,2
0.75,1,516,213,19.36,2
0.79,1,542,190,21.03,2
0.82,1,562,168,21.71,2
0.85,1,588,126,19.46,2
0.88,1,594,108,16.62,2
0.91,0,598,94,4.61,2
0.95,0,-1,-1,0,2
0.97,0,-1,-1,0,2
1.0,0,-1,-1,0,2
1.04,0,-1,-1,0,2
1.08,0,-1,-1,0,2
1.11,0,-1,-1,0,2
1.14,0,-1,-1,0,2
1.18,0,-1,-1,0,2
1.21,0,-1,-1,0,2
1.24,1,597,95,11.05,2
1.27,1,592,112,18.11,2
1.3,1,574,152,22.41,2
1.33,1,556,173,22.41,2
1.36,1,533,197,20.81,2
1.39,1,506,220,20.0,2
1.43,1,475,241,19.32,2
1.47,1,403,276,19.74,2
1.5,1,323,296,20.88,2
1.53,1,282,299,21.59,2
1.56,1,242,298,21.78,2
1.6,1,169,283,19.97,2
1.63,1,137,270,18.5,2
1.65,1,108,255,16.9,2
1.68,1,84,239,15.53,2
1.72,1,63,221,14.4,2
1.75,1,45,203,13.76,2
1.78,1,31,185,13.87,2
1.81,1,11,152,14.42,2
1.85,1,7,136,12.02,2
1.88,1,5,123,10.52,2
1.91,0,3,101,6.52,2
1.94,0,2,95,5.83,2
1.97,0,2,91,5.15,2
2.0,0,2,90,5.15,2
2.04,0,2,93,5.41,2
2.07,0,3,99,6.95,2
2.1,1,5,120,10.92,2
2.13,1,7,133,12.15,2
2.16,1,11,149,14.3,2
2.2,1,19,165,13.9,2
2.23,1,44,201,14.26,2
2.27,1,61,220,14.87,2
2.3,1,107,255,17.29,2
2.33,1,135,270,18.67,2
2.37,1,167,282,20.28,2
2.4,1,238,298,21.71,2
2.43,1,276,299,21.29,2
2.46,1,315,297,20.5,2
2.49,1,353,291,19.92,2
2.52,1,389,281,19.14,2
2.55,1,424,268,18.58,2
2.58,1,485,235,18.61,2
2.62,1,510,217,19.05,2
2.65,1,533,198,19.56,2
2.67,1,552,179,21.12,2
2.71,1,581,145,20.32,2
2.74,1,587,130,19.46,2
2.78,1,592,117,17.69,2
2.81,0,597,95,9.55,2
2.85,0,-1,-1,0,2
2.9,0,-1,-1,0,2
2.93,0,-1,-1,0,2
2.97,0,-1,-1,0,2
3.0,1,596,98,12.54,2
3.03,1,590,120,18.2,2
3.07,1,586,134,20.43,2
3.1,1,576,150,20.94,2
3.13,1,563,167,21.71,2
3.16,1,525,205,20.01,2
3.19,1,500,224,19.6,2
3.22,1,473,243,19.29,2
3.25,1,409,274,19.32,2
3.29,1,374,285,19.8,2
3.32,1,337,294,20.55,2
3.35,1,300,298,21.03,2
3.38,1,228,296,21.1,2
3.42,1,195,290,20.45,2
3.45,1,163,281,19.17,2
3.48,1,136,269,18.23,2
3.51,1,89,242,15.44,2
3.55,1,70,227,14.71,2
3.57,1,54,212,14.58,2
3.61,1,31,183,14.33,2
3.64,1,22,170,14.01,2
3.67,1,16,158,13.89,2
3.7,1,9,140,13.03,2
3.73,1,7,134,12.16,2
3.77,1,7,130,11.68,2
3.8,1,6,128,11.35,2
3.83,1,7,132,12.02,2
3.86,1,8,137,12.91,2
3.9,1,14,154,14.33,2
3.93,1,20,165,14.01,2
3.96,1,28,178,14.15,2
4.0,1,38,192,14.23,2
4.03,1,65,223,14.44,2
4.07,1,84,238,15.34,2
4.1,1,105,252,16.81,2
4.13,1,156,278,18.85,2
4.16,1,186,288,20.51,2
4.2,1,218,295,21.1,2
4.22,1,252,298,21.15,2
4.25,1,322,296,20.13,2
4.29,1,356,290,19.45,2
4.32,1,390,281,18.86,2
4.35,1,450,256,18.36,2
4.39,1,476,241,18.31,2
4.43,1,500,225,18.73,2
4.48,1,554,177,20.53,2
4.52,1,566,163,20.06,2
4.56,1,584,140,19.48,2
4.6,1,590,124,18.11,2
4.64,1,592,118,17.26,2
4.68,1,592,115,17.12,2
4.72,1,592,116,17.18,2
4.77,1,589,126,18.5,2
4.81,1,581,144,19.72,2
4.84,1,572,157,20.11,2
4.87,1,560,170,20.91,2
4.9,1,529,202,19.61,2
4.94,1,509,218,19.42,2
4.97,1,486,234,18.82,2
5.0,1,432,264,19.04,2
5.03,1,402,276,19.29,2
5.06,1,369,286,19.61,2
5.1,1,336,294,20.27,2
5.12,1,302,298,20.62,2
5.16,1,236,297,20.82,2
5.19,1,205,292,20.4,2
5.22,1,176,285,19.35,2
5.25,1,149,275,18.34,2
5.28,1,105,252,16.2,2
5.32,1,86,240,15.29,2
5.37,1,57,214,14.62,2
5.42,1,37,191,14.42,2
5.46,1,25,173,14.33,2
5.5,1,21,166,14.33,2
5.54,1,17,158,14.33,2
5.57,1,16,157,14.33,2
5.61,1,18,161,14.33,2
5.66,1,25,172,14.58,2
5.69,1,31,181,14.42,2
5.73,1,47,202,14.3,2
5.76,1,58,215,14.58,2
5.8,1,88,241,15.12,2
5.84,1,107,253,16.13,2
5.87,1,128,265,17.46,2
5.9,1,179,286,19.42,2
5.93,1,207,292,19.82,2
5.96,1,238,297,20.62,2
5.99,1,269,299,20.43,2
6.02,1,301,298,19.92,2
6.06,1,364,288,18.97,2
6.09,1,395,279,18.85,2
6.12,1,423,268,18.38,2
6.15,1,473,243,18.45,2
6.19,1,494,229,18.45,2
6.22,1,513,215,18.47,2
