Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,0,1,45,5.59,2
0.14,1,4,114,12.09,2
0.22,1,28,179,14.79,2
0.28,1,67,224,15.45,2
0.36,1,159,279,21.36,2
0.42,1,281,300,22.46,2
0.47,1,365,289,21.09,2
0.52,1,443,260,20.17,2
0.56,1,507,220,20.3,2
0.6,1,556,174,22.33,2
0.63,1,573,154,21.91,2
0.67,1,586,133,21.4,2
0.7,1,596,97,12.54,2
0.73,0,-1,-1,0,2
0.76,0,-1,-1,0,2
0.79,0,-1,-1,0,2
0.82,0,-1,-1,0,2
0.85,0,-1,-1,0,2
0.88,0,-1,-1,0,2
0.91,0,-1,-1,0,2
0.94,0,-1,-1,0,2
0.97,0,-1,-1,0,2
1.0,0,-1,-1,0,2
1.03,1,596,91,10.55,2
1.07,1,593,107,18.03,2
1.09,1,587,126,20.84,2
1.12,1,559,168,23.03,2
1.15,1,538,191,22.3,2
1.19,1,512,214,20.94,2
1.22,1,482,236,20.7,2
1.24,1,413,273,20.8,2
1.27,1,374,286,21.27,2
1.3,1,333,295,21.66,2
1.34,1,293,299,21.98,2
1.37,1,253,299,22.46,2
1.4,1,179,286,21.31,2
1.43,1,145,274,19.31,2
1.46,1,116,259,17.44,2
1.49,1,90,243,15.76,2
1.52,1,67,225,14.71,2
1.55,1,34,189,14.64,2
1.58,1,22,172,14.71,2
1.61,1,12,155,15.81,2
1.65,1,5,125,12.24,2
1.68,1,4,113,10.2,2
1.71,0,3,103,7.16,2
1.74,0,2,96,6.18,2
1.77,0,1,90,5.22,2
1.81,0,1,90,5.1,2
1.84,0,2,92,5.7,2
1.87,0,2,97,6.67,2
1.9,1,4,115,11.1,2
1.94,1,6,128,12.43,2
1.97,1,9,143,14.56,2
2.0,1,25,177,15.09,2
2.03,1,38,195,15.02,2
2.07,1,55,214,15.31,2
2.1,1,100,250,16.85,2
2.13,1,128,266,18.58,2
2.16,1,159,279,20.4,2
2.19,1,193,290,21.48,2
2.22,1,229,297,22.37,2
2.25,1,306,299,21.48,2
2.29,1,344,293,20.88,2
2.32,1,381,284,20.55,2
2.35,1,448,257,19.74,2
2.39,1,477,240,19.61,2
2.42,1,503,222,19.7,2
2.45,1,546,183,21.33,2
2.48,1,562,166,21.26,2
2.51,1,574,150,20.82,2
2.55,1,589,121,18.44,2
2.58,1,592,109,17.12,2
2.61,1,595,99,14.58,2
2.64,1,596,91,10.61,2
2.67,0,598,86,6.58,2
2.7,0,-1,-1,0,2
2.73,0,597,85,7.07,2
2.76,1,596,90,11.1,2
2.8,1,592,108,17.12,2
2.83,1,589,119,18.67,2
2.86,1,584,132,20.7,2
2.89,1,575,148,21.71,2
2.92,1,562,164,21.64,2
2.95,1,526,202,20.31,2
2.99,1,502,221,20.3,2
3.02,1,476,240,20.23,2
3.05,1,415,272,20.16,2
3.08,1,380,284,20.81,2
3.11,1,344,293,21.03,2
3.14,1,307,298,21.66,2
3.18,1,235,297,21.41,2
3.21,1,201,291,21.04,2
3.24,1,169,283,20.1,2
3.27,1,141,272,18.5,2
3.3,1,92,244,15.92,2
3.34,1,72,229,15.49,2
3.37,1,55,213,15.14,2
3.4,1,30,184,15.4,2
3.43,1,21,171,15.4,2
3.46,1,14,159,16.56,2
3.49,1,8,139,13.53,2
3.52,1,6,133,12.86,2
3.55,1,6,128,12.21,2
