Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,1,207,293,22.36,2
0.11,1,376,286,21.27,2
0.16,1,453,255,20.6,2
0.28,1,517,213,20.81,2
0.39,1,590,124,18.72,2
0.45,0,-1,-1,0,2
0.52,0,-1,-1,0,2
0.55,0,-1,-1,0,2
0.58,0,-1,-1,0,2
0.61,0,-1,-1,0,2
0.64,0,-1,-1,0,2
0.67,0,-1,-1,0,2
0.71,1,596,104,12.54,2
0.74,1,590,122,19.16,2
0.77,1,582,144,23.35,2
0.8,1,564,166,22.74,2
0.83,1,514,214,21.63,2
0.86,1,483,236,21.36,2
0.89,1,448,256,21.51,2
0.93,1,370,287,22.19,2
0.96,1,329,296,22.32,2
0.99,1,288,299,22.19,2
1.02,1,248,298,22.36,2
1.06,1,174,284,20.74,2
1.09,1,142,272,18.41,2
1.12,1,114,257,16.66,2
1.15,1,90,241,15.16,2
1.18,1,51,205,14.01,2
1.22,1,37,188,14.16,2
1.25,1,26,171,14.01,2
1.27,1,18,155,14.02,2
1.3,1,8,126,13.38,2
1.34,1,7,115,12.55,2
1.37,1,6,105,11.7,2
1.4,1,5,99,11.4,2
1.43,1,5,94,10.85,2
1.46,1,5,93,11.22,2
1.49,1,5,96,11.36,2
1.52,1,6,102,12.35,2
1.55,1,8,120,13.96,2
1.59,1,11,133,15.01,2
1.62,1,17,147,14.21,2
1.65,1,24,162,14.01,2
1.68,1,47,197,14.14,2
1.72,1,63,216,14.01,2
1.75,1,106,251,15.94,2
1.78,1,133,266,17.93,2
1.82,1,163,280,19.78,2
1.85,1,196,290,20.91,2
1.88,1,270,300,22.0,2
1.91,1,308,299,21.71,2
1.94,1,346,293,21.37,2
1.98,1,383,283,20.89,2
2.01,1,452,255,20.25,2
2.04,1,482,237,20.25,2
2.07,1,509,218,20.25,2
2.11,1,554,178,22.2,2
2.15,1,570,161,21.23,2
2.17,1,583,143,21.23,2
2.21,1,594,113,16.07,2
2.25,0,597,101,8.06,2
2.28,0,-1,-1,0,2
2.31,0,-1,-1,0,2
2.34,0,-1,-1,0,2
2.37,0,-1,-1,0,2
2.4,0,-1,-1,0,2
2.43,0,-1,-1,0,2
2.47,0,-1,-1,0,2
2.5,1,590,124,18.68,2
2.53,1,584,140,21.8,2
2.56,1,572,158,22.03,2
2.61,1,534,197,21.64,2
2.65,1,510,217,21.32,2
2.68,1,482,237,21.1,2
2.72,1,418,270,21.27,2
2.76,1,345,293,21.73,2
2.8,1,271,299,21.98,2
2.83,1,236,297,21.48,2
2.87,1,202,291,20.67,2
2.92,1,144,272,18.03,2
2.96,1,97,245,15.3,2
3.01,1,79,230,14.71,2
3.05,1,50,200,14.15,2
3.09,1,32,173,14.58,2
3.12,1,26,162,14.42,2
3.15,1,21,152,14.15,2
3.18,1,17,144,14.42,2
3.21,1,13,134,14.76,2
3.25,1,13,132,15.44,2
3.28,1,13,132,15.21,2
3.31,1,16,138,14.42,2
3.34,1,19,145,14.15,2
3.37,1,23,153,14.21,2
3.4,1,35,176,14.42,2
3.44,1,44,189,14.31,2
3.47,1,55,204,14.21,2
3.5,1,86,234,14.64,2
3.53,1,105,249,15.34,2
3.56,1,128,262,16.63,2
3.6,1,182,285,19.92,2
3.64,1,212,293,21.38,2
3.67,1,245,298,21.59,2
3.7,1,280,299,21.38,2
3.74,1,349,292,20.9,2
3.77,1,382,283,20.43,2
3.8,1,415,272,20.37,2
3.83,1,445,258,20.28,2
3.86,1,498,227,20.01,2
3.9,1,520,210,20.23,2
3.93,1,539,193,20.62,2
3.95,1,569,161,20.44,2
3.99,1,581,148,20.85,2
4.02,1,586,135,19.83,2
4.05,1,593,117,16.62,2
4.08,1,595,111,15.07,2
4.11,1,596,106,13.04,2
4.15,1,596,106,12.09,2
4.18,1,595,110,15.07,2
4.21,1,593,116,17.07,2
4.24,1,591,124,18.67,2
4.28,1,587,134,20.35,2
4.3,1,569,161,21.27,2
4.34,1,556,175,22.03,2
4.37,1,539,192,21.51,2
4.4,1,496,227,20.93,2
4.43,1,470,244,21.01,2
4.46,1,441,260,20.81,2
4.5,1,410,273,20.89,2
4.53,1,344,293,21.37,2
4.56,1,311,298,21.23,2
4.59,1,277,299,21.54,2
4.63,1,214,293,20.91,2
4.66,1,185,287,19.31,2
4.69,1,159,278,17.79,2
4.72,1,136,267,16.63,2
4.76,1,97,243,15.26,2
4.8,1,82,231,14.71,2
4.83,1,57,206,14.42,2
4.86,1,49,195,14.42,2
4.9,1,42,185,14.42,2
4.93,1,33,169,14.58,2
4.97,1,31,164,14.42,2
5.0,1,29,161,14.58,2
5.03,1,29,159,14.58,2
5.06,1,30,162,14.58,2
5.1,1,32,166,14.42,2
5.13,1,40,180,14.42,2
5.16,1,47,189,14.3,2
5.19,1,55,200,14.53,2
5.22,1,65,212,14.3,2
5.25,1,92,237,14.92,2
5.29,1,109,250,15.17,2
5.32,1,128,261,16.17,2
5.35,1,151,273,17.39,2
5.38,1,202,290,19.93,2
5.41,1,231,296,20.74,2
5.45,1,262,299,20.99,2
5.48,1,325,296,20.62,2
5.52,1,356,290,20.43,2
5.55,1,416,272,19.99,2
5.58,1,443,259,20.02,2
5.62,1,468,246,19.83,2
5.65,1,491,231,19.91,2
5.68,1,529,202,20.0,2
5.72,1,544,187,20.94,2
5.75,1,557,174,20.98,2
5.78,1,576,154,20.31,2
5.81,1,582,145,19.92,2
5.84,1,585,139,19.61,2
5.87,1,587,135,19.31,2
5.9,1,587,133,19.04,2
5.94,1,586,135,19.74,2
5.97,1,584,140,20.23,2
6.0,1,574,155,20.62,2
6.03,1,565,165,21.02,2
6.07,1,554,177,21.38,2
6.1,1,523,206,20.41,2
6.13,1,504,221,20.41,2
6.16,1,483,236,20.62,2
6.2,1,458,250,20.65,2
6.23,1,404,275,20.67,2
6.26,1,374,285,20.86,2
6.29,1,343,293,20.9,2
6.32,1,313,297,21.03,2
6.35,1,253,298,20.51,2
6.38,1,224,295,20.5,2
6.42,1,198,290,19.48,2
6.45,1,173,282,18.41,2
6.48,1,131,264,16.38,2
6.51,1,114,253,15.53,2
6.54,1,98,242,15.0,2
6.58,1,86,232,15.0,2
6.61,1,66,212,14.58,2
6.64,1,58,203,14.58,2
6.67,1,53,196,14.42,2
6.7,1,46,185,14.42,2
6.74,1,44,182,14.58,2
6.77,1,44,181,14.71,2
6.8,1,44,181,14.42,2
6.83,1,48,187,14.58,2
6.87,1,52,193,14.42,2
6.9,1,57,200,14.6,2
6.92,1,64,208,14.42,2
6.96,1,84,228,14.58,2
6.99,1,96,238,14.84,2
7.02,1,111,249,15.09,2
7.05,1,147,270,16.63,2
7.09,1,168,279,17.87,2
7.12,1,191,287,19.44,2
7.15,1,244,297,20.51,2
7.18,1,272,299,20.65,2
7.21,1,301,299,20.5,2
7.25,1,330,295,20.5,2
7.28,1,386,282,19.99,2
7.31,1,413,273,19.97,2
7.34,1,438,261,19.83,2
7.38,1,461,250,19.83,2
7.4,1,500,224,19.83,2
7.44,1,517,211,19.83,2
7.47,1,531,199,19.91,2
7.51,1,554,178,20.73,2
7.54,1,561,170,20.4,2
7.57,1,567,163,19.98,2
7.6,1,574,155,19.76,2
7.64,1,575,155,19.91,2
7.67,1,573,156,19.91,2
7.7,1,571,159,19.84,2
7.73,1,560,170,20.7,2
7.77,1,552,179,21.12,2
7.8,1,541,189,21.1,2
7.82,1,529,201,20.53,2
7.86,1,496,226,20.43,2
