Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,1,268,300,22.46,2
0.1,1,432,265,20.16,2
0.16,1,527,203,20.7,2
0.24,1,584,138,22.02,2
0.29,1,595,101,13.09,2
0.34,0,-1,-1,0,2
0.38,0,-1,-1,0,2
0.41,0,-1,-1,0,2
0.45,0,-1,-1,0,2
0.48,0,-1,-1,0,2
0.5,0,-1,-1,0,2
0.53,0,-1,-1,0,2
0.57,0,-1,-1,0,2
0.6,0,-1,-1,0,2
0.62,0,-1,-1,0,2
0.66,1,590,118,19.3,2
0.69,1,583,138,22.73,2
0.72,1,567,159,22.5,2
0.75,1,548,181,23.51,2
0.78,1,495,228,21.01,2
0.82,1,462,248,20.93,2
0.85,1,427,267,21.1,2
0.88,1,348,292,21.36,2
0.92,1,308,298,21.59,2
0.95,1,228,296,21.87,2
0.99,1,191,289,21.59,2
1.02,1,157,278,20.72,2
1.05,1,126,265,18.58,2
1.09,1,75,232,16.15,2
1.11,1,55,214,15.55,2
1.14,1,39,195,15.21,2
1.18,1,26,178,15.43,2
1.21,1,9,145,15.6,2
1.24,1,6,130,13.29,2
1.27,1,4,117,11.67,2
1.3,0,3,98,7.43,2
1.34,0,2,93,7.16,2
1.36,0,2,90,6.67,2
1.4,0,2,89,6.67,2
1.43,0,2,91,7.16,2
1.46,0,3,101,8.66,2
1.49,1,4,111,10.61,2
1.52,1,5,123,13.13,2
1.57,1,12,153,16.71,2
1.63,1,33,188,15.81,2
1.65,1,68,225,15.95,2
1.69,1,91,243,17.07,2
1.72,1,117,260,19.07,2
1.76,1,180,286,21.98,2
1.79,1,215,294,22.68,2
1.82,1,252,299,22.28,2
1.85,1,291,300,21.48,2
1.89,1,367,288,20.62,2
1.92,1,403,277,20.16,2
1.95,1,436,263,19.72,2
1.98,1,495,228,19.7,2
2.02,1,519,210,19.83,2
2.05,1,540,190,20.7,2
2.08,1,558,171,21.8,2
2.11,1,583,138,20.6,2
2.14,1,588,124,18.84,2
2.17,1,592,111,16.69,2
2.2,1,595,101,14.08,2
2.23,0,-1,-1,0,2
2.27,0,-1,-1,0,2
2.3,0,-1,-1,0,2
2.33,0,-1,-1,0,2
2.36,1,596,92,10.55,2
2.4,1,595,101,15.07,2
2.43,1,588,124,19.71,2
2.46,1,582,139,21.26,2
2.49,1,570,156,21.6,2
2.53,1,537,192,21.32,2
2.57,1,515,212,20.62,2
2.6,1,490,231,20.31,2
2.64,1,430,265,20.42,2
2.67,1,396,279,20.62,2
2.7,1,324,296,21.19,2
2.73,1,287,299,21.23,2
2.77,1,251,298,21.79,2
2.82,1,183,287,21.23,2
2.86,1,126,264,17.93,2
2.9,1,101,251,17.28,2
2.93,1,62,221,15.54,2
2.98,1,47,205,15.53,2
3.01,1,25,176,15.95,2
3.05,1,17,164,16.12,2
3.09,1,9,143,15.38,2
3.13,1,7,135,13.72,2
3.17,1,6,126,12.21,2
3.22,1,6,127,12.47,2
3.26,1,8,137,14.05,2
3.29,1,10,146,15.54,2
3.32,1,13,156,17.1,2
3.35,1,20,168,15.96,2
3.38,1,39,196,15.93,2
3.42,1,53,211,15.82,2
3.45,1,69,227,15.96,2
3.48,1,112,257,18.36,2
3.52,1,138,270,19.7,2
3.55,1,197,291,20.99,2
3.58,1,231,297,21.4,2
3.61,1,265,300,21.48,2
3.65,1,301,299,20.74,2
3.68,1,369,287,20.27,2
