Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,1,460,285,47.13,1
0.12,0,-1,-1,0,1
0.18,0,-1,-1,0,1
0.25,0,-1,-1,0,1
0.3,0,-1,-1,0,1
0.33,0,-1,-1,0,1
0.36,0,-1,-1,0,1
0.4,0,-1,-1,0,1
0.43,0,-1,-1,0,1
0.46,0,-1,-1,0,1
0.49,0,-1,-1,0,1
0.52,0,-1,-1,0,1
0.55,0,-1,-1,0,1
0.58,0,-1,-1,0,1
0.61,0,-1,-1,0,1
0.64,0,-1,-1,0,1
0.67,0,-1,-1,0,1
0.7,0,-1,-1,0,1
0.73,0,-1,-1,0,1
0.76,1,584,233,28.23,1
0.79,1,547,255,47.7,1
0.82,1,407,298,50.29,1
0.85,1,335,307,52.02,1
0.88,1,265,308,52.56,1
0.91,1,199,303,50.88,1
0.94,1,137,290,48.37,1
0.97,1,37,250,39.13,1
1.0,1,12,226,25.83,1
1.03,0,-1,-1,0,1
1.06,0,-1,-1,0,1
1.09,0,-1,-1,0,1
1.12,0,-1,-1,0,1
1.16,0,-1,-1,0,1
1.18,0,-1,-1,0,1
1.21,0,-1,-1,0,1
1.24,0,-1,-1,0,1
1.27,0,-1,-1,0,1
1.3,0,-1,-1,0,1
1.33,0,-1,-1,0,1
1.36,0,-1,-1,0,1
1.39,0,-1,-1,0,1
1.42,0,-1,-1,0,1
1.45,0,-1,-1,0,1
1.48,0,-1,-1,0,1
1.51,0,-1,-1,0,1
1.54,0,-1,-1,0,1
1.58,0,-1,-1,0,1
1.61,0,-1,-1,0,1
1.64,1,3,211,14.53,1
1.67,1,59,261,43.47,1
1.7,1,110,282,47.77,1
1.73,1,167,297,50.02,1
1.76,1,229,307,49.94,1
1.79,1,293,309,49.5,1
1.82,1,426,294,46.36,1
1.86,1,489,277,44.48,1
1.89,1,549,255,43.27,1
1.92,1,583,234,30.06,1
1.95,0,-1,-1,0,1
1.98,0,-1,-1,0,1
