Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,0,-1,-1,0,1
0.11,0,-1,-1,0,1
0.16,0,-1,-1,0,1
0.23,0,-1,-1,0,1
0.28,0,-1,-1,0,1
0.32,0,-1,-1,0,1
0.36,0,-1,-1,0,1
0.39,0,-1,-1,0,1
0.42,0,-1,-1,0,1
0.45,0,-1,-1,0,1
0.49,0,-1,-1,0,1
0.52,0,-1,-1,0,1
0.55,0,-1,-1,0,1
0.58,1,573,253,40.74,1
0.61,1,518,276,53.92,1
0.64,1,441,299,55.36,1
0.67,1,361,313,56.46,1
0.7,1,282,317,57.13,1
0.72,1,205,311,56.82,1
0.76,1,135,298,53.95,1
0.79,1,72,277,51.27,1
0.82,1,27,253,42.48,1
0.85,1,5,226,17.56,1
0.88,0,-1,-1,0,1
0.91,0,-1,-1,0,1
0.94,0,-1,-1,0,1
0.97,0,-1,-1,0,1
1.0,0,-1,-1,0,1
1.03,0,-1,-1,0,1
1.06,0,-1,-1,0,1
1.09,0,-1,-1,0,1
1.12,0,-1,-1,0,1
1.15,0,-1,-1,0,1
1.18,0,-1,-1,0,1
1.21,0,-1,-1,0,1
1.24,0,-1,-1,0,1
1.28,0,-1,-1,0,1
1.31,0,-1,-1,0,1
1.34,0,-1,-1,0,1
1.37,0,-1,-1,0,1
1.4,0,-1,-1,0,1
1.43,0,-1,-1,0,1
1.46,1,18,244,36.53,1
1.49,1,50,267,50.7,1
1.53,1,109,290,52.89,1
1.56,1,176,307,54.39,1
1.58,1,248,316,54.59,1
1.62,1,321,316,53.84,1
1.65,1,395,309,52.15,1
1.67,1,466,293,50.48,1
1.7,1,532,272,49.04,1
1.73,0,-1,-1,0,1
1.76,0,-1,-1,0,1
1.79,0,-1,-1,0,1
1.82,0,-1,-1,0,1
1.85,0,-1,-1,0,1
1.88,0,-1,-1,0,1
1.92,0,-1,-1,0,1
1.94,0,-1,-1,0,1
1.97,0,-1,-1,0,1
2.01,0,-1,-1,0,1
2.03,0,-1,-1,0,1
2.06,0,-1,-1,0,1
2.09,0,-1,-1,0,1
2.12,0,-1,-1,0,1
2.15,0,-1,-1,0,1
2.18,0,-1,-1,0,1
2.21,0,-1,-1,0,1
2.24,0,-1,-1,0,1
2.28,0,-1,-1,0,1
2.31,0,-1,-1,0,1
2.34,0,597,232,7.07,1
2.38,1,573,253,40.51,1
2.41,1,526,274,51.21,1
2.44,1,459,294,52.27,1
2.47,1,388,309,53.45,1
2.5,1,317,316,54.33,1
2.53,1,247,315,54.57,1
2.56,1,119,293,50.51,1
2.59,1,64,274,48.47,1
2.62,1,26,252,41.07,1
2.65,1,7,229,21.52,1
2.69,0,-1,-1,0,1
2.72,0,-1,-1,0,1
2.75,0,-1,-1,0,1
2.78,0,-1,-1,0,1
2.8,0,-1,-1,0,1
2.83,0,-1,-1,0,1
2.87,0,-1,-1,0,1
2.9,0,-1,-1,0,1
2.93,0,-1,-1,0,1
2.96,0,-1,-1,0,1
3.0,0,-1,-1,0,1
3.02,0,-1,-1,0,1
3.05,0,-1,-1,0,1
3.08,0,-1,-1,0,1
3.11,0,-1,-1,0,1
3.14,0,-1,-1,0,1
3.17,0,-1,-1,0,1
3.2,0,-1,-1,0,1
3.24,1,12,235,26.95,1
3.27,1,33,257,45.84,1
3.3,1,78,279,50.51,1
3.33,1,196,310,52.54,1
3.36,1,262,317,52.12,1
3.39,1,329,316,51.34,1
3.41,1,396,308,49.96,1
3.45,1,460,294,48.75,1
3.48,1,520,276,47.08,1
3.51,1,568,256,42.65,1
3.54,1,591,237,23.05,1
3.57,0,-1,-1,0,1
3.6,0,-1,-1,0,1
3.63,0,-1,-1,0,1
3.66,0,-1,-1,0,1
3.69,0,-1,-1,0,1
3.72,0,-1,-1,0,1
3.75,0,-1,-1,0,1
3.78,0,-1,-1,0,1
3.81,0,-1,-1,0,1
3.85,0,-1,-1,0,1
3.87,0,-1,-1,0,1
3.9,0,-1,-1,0,1
3.93,0,-1,-1,0,1
3.96,0,-1,-1,0,1
3.99,0,-1,-1,0,1
4.02,0,-1,-1,0,1
4.05,0,-1,-1,0,1
4.08,0,-1,-1,0,1
4.1,1,594,236,19.06,1
4.13,1,572,254,41.66,1
4.16,1,527,274,49.31,1
4.2,1,467,293,50.05,1
4.23,1,403,307,51.1,1
4.25,1,338,315,52.03,1
4.29,1,273,317,52.46,1
