Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,0,-1,-1,0,1
0.1,0,-1,-1,0,1
0.17,0,-1,-1,0,1
0.24,0,-1,-1,0,1
0.29,0,-1,-1,0,1
0.33,0,-1,-1,0,1
0.37,0,-1,-1,0,1
0.41,0,-1,-1,0,1
0.44,0,-1,-1,0,1
0.47,0,-1,-1,0,1
0.5,0,-1,-1,0,1
0.53,0,-1,-1,0,1
0.56,0,-1,-1,0,1
0.59,0,-1,-1,0,1
0.62,0,-1,-1,0,1
0.65,0,-1,-1,0,1
0.69,0,-1,-1,0,1
0.71,0,-1,-1,0,1
0.74,0,-1,-1,0,1
0.77,0,-1,-1,0,1
0.8,0,-1,-1,0,1
0.83,0,-1,-1,0,1
0.86,0,-1,-1,0,1
0.89,0,-1,-1,0,1
0.92,0,-1,-1,0,1
0.95,0,-1,-1,0,1
0.97,0,-1,-1,0,1
1.01,0,-1,-1,0,1
1.04,0,-1,-1,0,1
1.07,0,-1,-1,0,1
1.1,0,-1,-1,0,1
1.13,0,-1,-1,0,1
1.16,0,-1,-1,0,1
1.18,0,-1,-1,0,1
1.21,0,-1,-1,0,1
1.24,0,-1,-1,0,1
1.27,0,-1,-1,0,1
1.3,0,-1,-1,0,1
1.33,1,569,230,45.68,1
1.36,1,503,259,59.51,1
1.4,1,415,288,61.19,1
1.42,1,324,310,63.36,1
1.45,1,153,307,59.91,1
1.48,1,77,293,55.24,1
1.52,1,27,272,41.6,1
1.55,0,1,239,6.58,1
1.58,0,-1,-1,0,1
1.61,0,-1,-1,0,1
1.64,0,-1,-1,0,1
1.67,0,-1,-1,0,1
1.7,0,-1,-1,0,1
1.73,0,-1,-1,0,1
1.77,0,-1,-1,0,1
1.8,0,-1,-1,0,1
1.83,0,-1,-1,0,1
1.86,0,-1,-1,0,1
1.89,0,-1,-1,0,1
1.92,0,-1,-1,0,1
1.95,0,-1,-1,0,1
1.98,0,-1,-1,0,1
2.01,0,-1,-1,0,1
2.04,0,-1,-1,0,1
2.07,0,-1,-1,0,1
2.1,0,-1,-1,0,1
