Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,0,-1,-1,0,1
0.12,0,-1,-1,0,1
0.2,0,-1,-1,0,1
0.26,0,-1,-1,0,1
0.31,0,-1,-1,0,1
0.34,0,-1,-1,0,1
0.37,0,-1,-1,0,1
0.41,0,-1,-1,0,1
0.44,0,-1,-1,0,1
0.47,0,-1,-1,0,1
0.5,0,-1,-1,0,1
0.53,0,-1,-1,0,1
0.56,0,-1,-1,0,1
0.59,0,-1,-1,0,1
0.61,1,13,228,27.66,1
0.65,1,38,252,41.04,1
0.68,1,142,293,49.31,1
0.71,1,204,304,51.05,1
0.74,1,267,309,50.82,1
0.77,1,400,300,47.67,1
0.8,1,466,284,45.24,1
0.83,1,527,264,43.55,1
0.86,1,574,242,37.92,1
0.89,1,596,221,13.54,1
0.93,0,-1,-1,0,1
0.96,0,-1,-1,0,1
0.99,0,-1,-1,0,1
1.02,0,-1,-1,0,1
1.05,0,-1,-1,0,1
1.09,0,-1,-1,0,1
1.12,0,-1,-1,0,1
1.15,0,-1,-1,0,1
1.18,0,-1,-1,0,1
1.21,0,-1,-1,0,1
1.24,0,-1,-1,0,1
1.27,0,-1,-1,0,1
1.3,0,-1,-1,0,1
1.33,0,-1,-1,0,1
1.36,0,-1,-1,0,1
1.39,0,-1,-1,0,1
1.42,0,-1,-1,0,1
1.45,0,-1,-1,0,1
1.49,0,-1,-1,0,1
1.53,1,565,247,44.3,1
1.56,1,509,270,46.55,1
1.59,1,446,289,48.28,1
1.62,1,381,303,50.0,1
1.65,1,253,309,50.92,1
1.69,1,193,302,49.7,1
1.72,1,88,275,45.08,1
1.76,1,45,255,39.5,1
1.79,1,17,233,31.33,1
1.83,0,-1,-1,0,1
1.86,0,-1,-1,0,1
1.89,0,-1,-1,0,1
1.92,0,-1,-1,0,1
1.95,0,-1,-1,0,1
1.98,0,-1,-1,0,1
2.01,0,-1,-1,0,1
2.05,0,-1,-1,0,1
2.08,0,-1,-1,0,1
2.12,0,-1,-1,0,1
2.15,0,-1,-1,0,1
2.18,0,-1,-1,0,1
2.22,0,-1,-1,0,1
2.24,0,-1,-1,0,1
2.27,0,-1,-1,0,1
2.3,0,-1,-1,0,1
2.33,0,-1,-1,0,1
2.36,0,-1,-1,0,1
2.39,1,12,225,26.58,1
2.43,1,73,268,44.48,1
2.46,1,121,286,47.17,1
2.49,1,174,300,48.65,1
2.52,1,230,307,49.17,1
2.55,1,289,310,49.12,1
2.58,1,410,297,46.03,1
2.61,1,469,283,43.97,1
2.64,1,525,265,42.54,1
2.67,1,591,226,21.59,1
