Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,0,-1,-1,0,1
0.12,0,-1,-1,0,1
0.18,0,-1,-1,0,1
0.24,0,-1,-1,0,1
0.28,0,-1,-1,0,1
0.31,0,-1,-1,0,1
0.34,0,-1,-1,0,1
0.37,0,-1,-1,0,1
0.41,0,-1,-1,0,1
0.44,0,-1,-1,0,1
0.46,0,-1,-1,0,1
0.5,0,-1,-1,0,1
0.53,1,10,232,25.3,1
0.56,1,87,281,52.34,1
0.59,1,153,302,53.85,1
0.62,1,225,313,53.79,1
0.66,1,301,317,52.96,1
0.69,1,378,311,52.39,1
0.72,1,454,296,51.44,1
0.75,1,524,275,50.81,1
0.78,0,-1,-1,0,1
0.81,0,-1,-1,0,1
0.84,0,-1,-1,0,1
0.87,0,-1,-1,0,1
0.91,0,-1,-1,0,1
0.94,0,-1,-1,0,1
0.97,0,-1,-1,0,1
1.0,0,-1,-1,0,1
1.03,0,-1,-1,0,1
1.06,0,-1,-1,0,1
1.09,0,-1,-1,0,1
1.12,0,-1,-1,0,1
1.16,0,-1,-1,0,1
1.18,0,-1,-1,0,1
1.21,0,-1,-1,0,1
1.24,0,-1,-1,0,1
1.27,0,-1,-1,0,1
1.3,0,-1,-1,0,1
1.33,0,-1,-1,0,1
1.36,0,-1,-1,0,1
1.39,0,-1,-1,0,1
1.41,1,591,241,24.02,1
1.44,1,562,261,50.3,1
1.48,1,498,284,53.49,1
1.51,1,425,303,53.6,1
1.54,1,349,314,53.7,1
1.57,1,275,317,53.65,1
1.6,1,204,310,53.26,1
1.63,1,140,298,50.02,1
1.66,1,35,257,44.41,1
1.69,1,14,236,29.16,1
1.72,0,-1,-1,0,1
1.75,0,-1,-1,0,1
1.78,0,-1,-1,0,1
1.81,0,-1,-1,0,1
1.84,0,-1,-1,0,1
1.87,0,-1,-1,0,1
1.9,0,-1,-1,0,1
1.94,0,-1,-1,0,1
1.97,0,-1,-1,0,1
2.0,0,-1,-1,0,1
2.03,0,-1,-1,0,1
2.05,0,-1,-1,0,1
2.08,0,-1,-1,0,1
2.11,0,-1,-1,0,1
2.14,0,-1,-1,0,1
2.18,0,-1,-1,0,1
2.21,0,-1,-1,0,1
2.24,0,-1,-1,0,1
2.27,1,1,219,11.1,1
2.3,1,20,242,37.9,1
2.33,1,50,264,46.62,1
2.37,1,103,286,49.4,1
2.4,1,163,303,50.64,1
2.43,1,227,313,51.3,1
2.46,1,295,317,50.8,1
2.49,1,434,301,49.74,1
2.52,1,499,284,49.08,1
2.55,1,559,262,48.56,1
2.58,1,586,244,27.91,1
