Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,1,447,257,19.31,2
0.11,1,561,169,22.67,2
0.18,1,589,127,19.31,2
0.25,0,-1,-1,0,2
0.3,0,-1,-1,0,2
0.33,0,-1,-1,0,2
0.37,0,-1,-1,0,2
0.4,0,-1,-1,0,2
0.43,0,-1,-1,0,2
0.46,0,-1,-1,0,2
0.49,0,-1,-1,0,2
0.53,0,-1,-1,0,2
0.57,1,597,102,10.05,2
0.59,1,591,120,19.04,2
0.62,1,583,141,23.11,2
0.65,1,545,186,23.38,2
0.68,1,518,211,21.01,2
0.71,1,487,233,20.4,2
0.74,1,452,253,20.41,2
0.77,1,414,271,20.84,2
0.8,1,333,294,21.66,2
0.83,1,291,298,22.15,2
0.87,1,251,298,22.64,2
0.92,1,177,285,20.99,2
0.96,1,116,259,18.06,2
0.99,1,92,243,16.25,2
1.03,1,71,225,15.39,2
1.07,1,39,189,14.37,2
1.11,1,20,157,13.46,2
1.15,1,13,142,13.65,2
1.18,1,7,117,11.68,2
1.23,1,5,100,10.39,2
1.28,1,5,93,10.35,2
1.32,1,5,94,10.31,2
1.36,1,6,101,10.99,2
1.39,1,7,109,11.8,2
1.42,1,9,119,12.39,2
1.45,1,18,145,13.16,2
1.48,1,25,161,13.33,2
1.51,1,34,177,13.9,2
1.55,1,62,213,14.71,2
1.58,1,81,231,15.81,2
1.61,1,104,249,17.01,2
1.64,1,130,264,18.5,2
1.67,1,159,278,20.08,2
1.7,1,226,295,21.87,2
1.73,1,264,299,22.14,2
1.77,1,302,298,21.48,2
1.8,1,377,284,19.97,2
1.83,1,413,272,19.5,2
1.86,1,447,257,19.36,2
1.89,1,478,240,19.31,2
1.92,1,529,202,20.0,2
1.95,1,551,181,22.02,2
1.99,1,568,163,21.11,2
2.02,1,582,146,21.03,2
2.05,1,594,115,16.62,2
2.08,0,597,103,9.06,2
2.11,0,-1,-1,0,2
2.14,0,-1,-1,0,2
2.18,0,-1,-1,0,2
2.2,0,-1,-1,0,2
2.23,0,-1,-1,0,2
2.27,0,-1,-1,0,2
2.3,0,-1,-1,0,2
2.33,1,595,109,14.58,2
2.36,1,591,122,18.34,2
2.4,1,574,156,22.02,2
2.43,1,557,174,22.73,2
2.46,1,537,195,21.32,2
2.5,1,512,215,20.4,2
2.53,1,454,253,20.16,2
2.56,1,420,268,20.35,2
2.59,1,385,281,20.82,2
2.62,1,348,291,21.19,2
2.66,1,274,299,21.72,2
2.69,1,238,297,21.38,2
2.72,1,205,292,21.23,2
2.75,1,146,273,18.97,2
2.78,1,122,260,17.56,2
2.81,1,100,247,16.09,2
2.85,1,66,217,14.61,2
2.87,1,53,202,14.31,2
2.9,1,43,188,14.09,2
2.94,1,35,175,13.9,2
2.97,1,29,164,13.6,2
3.0,1,21,145,12.97,2
3.04,1,18,139,12.78,2
3.08,1,16,132,12.62,2
3.11,1,17,132,12.62,2
3.14,1,17,134,12.62,2
3.17,1,19,139,12.78,2
3.2,1,26,153,12.79,2
3.24,1,31,164,13.2,2
3.27,1,37,175,13.31,2
3.3,1,56,203,14.01,2
3.34,1,70,218,14.42,2
3.37,1,86,233,14.98,2
3.39,1,105,247,16.21,2
3.42,1,152,274,18.71,2
3.46,1,179,284,19.79,2
3.49,1,209,292,20.82,2
3.52,1,242,297,21.38,2
3.55,1,310,297,20.74,2
3.59,1,344,292,20.27,2
3.62,1,378,284,19.91,2
3.65,1,441,259,19.29,2
3.68,1,469,244,19.14,2
3.71,1,495,228,19.15,2
3.74,1,517,212,19.47,2
3.78,1,554,178,21.63,2
3.81,1,568,163,20.71,2
3.85,1,586,137,19.56,2
3.87,1,590,126,18.11,2
3.91,1,593,118,17.18,2
3.95,1,596,108,13.58,2
3.99,1,596,106,12.59,2
4.02,1,595,111,15.07,2
4.05,1,593,116,17.07,2
4.09,1,591,124,18.18,2
4.12,1,587,134,20.17,2
4.15,1,570,160,21.37,2
4.18,1,557,174,22.1,2
4.21,1,540,191,21.4,2
4.25,1,497,226,20.12,2
4.28,1,471,242,19.91,2
4.31,1,442,258,19.98,2
4.34,1,411,271,20.25,2
4.37,1,379,283,20.42,2
4.41,1,312,297,21.03,2
4.44,1,278,299,21.19,2
4.47,1,246,298,21.23,2
4.5,1,187,287,20.08,2
4.54,1,161,279,18.97,2
4.57,1,138,268,17.47,2
4.6,1,100,244,15.74,2
4.63,1,85,232,15.12,2
4.66,1,72,219,15.0,2
4.69,1,61,208,14.42,2
4.72,1,53,196,14.01,2
4.75,1,41,178,13.6,2
4.79,1,37,171,13.31,2
4.82,1,35,165,13.31,2
4.85,1,32,160,12.97,2
4.88,1,33,161,12.9,2
4.91,1,34,163,13.24,2
4.94,1,36,167,13.04,2
4.97,1,40,173,13.21,2
5.01,1,50,190,13.6,2
5.04,1,58,200,14.21,2
5.07,1,67,212,14.33,2
5.1,1,94,236,15.12,2
5.13,1,110,249,16.0,2
5.16,1,129,261,16.78,2
5.2,1,175,282,19.04,2
5.22,1,201,290,19.96,2
5.26,1,229,295,20.4,2
5.29,1,259,298,20.75,2
5.32,1,290,298,20.5,2
5.35,1,353,290,19.92,2
5.39,1,383,282,19.7,2
5.42,1,413,272,19.25,2
5.44,1,440,260,19.14,2
5.48,1,488,232,19.14,2
5.51,1,509,217,19.43,2
5.54,1,527,203,19.75,2
5.58,1,556,175,20.85,2
5.61,1,566,164,20.56,2
5.65,1,582,145,19.57,2
5.67,1,585,139,19.59,2
5.7,1,587,135,19.38,2
5.74,1,588,133,19.14,2
5.77,1,587,133,19.14,2
5.8,1,584,139,19.83,2
5.83,1,581,146,20.53,2
5.87,1,574,154,20.52,2
5.9,1,554,176,21.34,2
5.94,1,540,190,20.94,2
5.96,1,523,205,20.3,2
6.0,1,483,234,19.91,2
6.03,1,459,249,19.83,2
6.06,1,432,262,19.83,2
6.09,1,404,274,20.11,2
6.12,1,344,291,20.43,2
6.16,1,313,296,20.72,2
6.19,1,282,298,20.62,2
6.22,1,253,298,20.99,2
6.26,1,199,290,20.01,2
6.29,1,174,283,18.97,2
6.32,1,152,274,18.03,2
6.35,1,116,254,16.3,2
6.38,1,101,243,15.65,2
6.42,1,89,233,15.12,2
6.45,1,69,213,14.42,2
6.47,1,62,204,14.15,2
6.51,1,57,197,13.93,2
6.54,1,53,191,13.9,2
6.58,1,48,183,13.46,2
6.61,1,48,182,13.31,2
6.64,1,48,182,13.31,2
6.67,1,52,188,13.46,2
6.7,1,56,193,13.73,2
6.74,1,61,200,14.01,2
6.77,1,68,208,14.01,2
6.8,1,86,228,14.71,2
6.83,1,98,238,15.26,2
6.87,1,112,249,15.89,2
6.9,1,147,270,17.27,2
6.93,1,168,279,18.08,2
6.97,1,191,287,18.93,2
7.0,1,216,293,19.81,2
7.03,1,270,298,20.13,2
7.06,1,298,298,20.26,2
7.09,1,327,295,19.94,2
7.12,1,355,289,19.61,2
7.16,1,410,273,19.14,2
7.19,1,458,250,19.11,2
7.22,1,479,237,19.22,2
7.25,1,498,225,19.37,2
7.28,1,515,212,19.42,2
7.32,1,530,200,19.46,2
7.34,1,542,188,20.31,2
7.38,1,560,170,20.63,2
7.41,1,566,163,20.11,2
7.45,1,573,155,19.74,2
7.48,1,574,154,19.74,2
7.51,1,573,155,19.83,2
7.54,1,570,158,19.92,2
7.58,1,559,170,20.55,2
7.61,1,551,178,20.85,2
7.64,1,541,188,20.81,2
7.67,1,528,200,20.31,2
7.71,1,496,225,20.01,2
7.74,1,476,238,19.83,2
7.78,1,454,251,19.85,2
7.83,1,377,283,20.16,2
7.87,1,350,290,20.25,2
7.91,1,293,298,20.5,2
7.95,1,240,297,20.13,2
7.98,1,215,293,19.78,2
8.03,1,170,281,18.21,2
8.06,1,151,273,17.47,2
8.1,1,119,255,16.1,2
8.15,1,96,236,15.4,2
8.19,1,87,228,15.12,2
8.22,1,79,220,14.71,2
8.25,1,69,208,14.3,2
8.28,1,65,204,14.01,2
8.32,1,63,201,14.01,2
8.35,1,63,199,13.9,2
8.38,1,64,201,13.9,2
8.41,1,67,203,14.01,2
8.44,1,70,208,14.16,2
8.47,1,75,214,14.6,2
8.5,1,90,228,14.71,2
8.54,1,99,237,15.26,2
8.57,1,110,246,15.53,2
8.6,1,139,264,16.59,2
8.63,1,156,273,17.34,2
8.66,1,175,281,17.95,2
8.69,1,197,288,18.74,2
8.72,1,219,293,19.66,2
8.75,1,269,298,20.13,2
8.79,1,295,298,20.01,2
8.82,1,321,295,19.78,2
8.85,1,373,285,19.46,2
8.88,1,398,277,19.36,2
8.91,1,422,267,19.14,2
8.95,1,464,246,19.14,2
8.97,1,482,235,19.24,2
9.01,1,498,224,19.37,2
9.04,1,512,213,19.44,2
9.07,1,524,203,19.65,2
9.1,1,542,186,20.35,2
9.13,1,549,180,20.41,2
9.17,1,553,176,20.31,2
9.2,1,556,172,20.12,2
9.23,1,555,173,20.31,2
9.26,1,552,176,20.53,2
9.29,1,548,180,20.7,2
9.33,1,533,195,20.18,2
9.36,1,522,204,20.23,2
9.39,1,509,214,20.0,2
9.42,1,494,225,19.91,2
9.46,1,458,248,19.83,2
9.49,1,437,259,19.83,2
9.52,1,415,269,19.92,2
9.56,1,366,286,20.16,2
9.59,1,340,292,20.09,2
9.62,1,314,296,20.25,2
9.65,1,264,298,20.27,2
9.68,1,239,297,19.91,2
9.71,1,217,293,19.44,2
9.74,1,176,282,18.13,2
9.77,1,158,275,17.52,2
9.81,1,143,267,16.65,2
9.84,1,129,259,16.23,2
9.87,1,117,251,16.01,2
9.9,1,98,236,15.33,2
9.93,1,91,230,15.03,2
9.97,1,86,224,14.84,2
10.0,1,79,216,14.53,2
10.02,1,77,213,14.3,2
10.05,1,76,213,14.6,2
10.09,1,77,213,14.3,2
10.12,1,79,215,14.42,2
10.14,1,81,218,14.71,2
10.18,1,85,222,14.71,2
10.21,1,97,234,15.24,2
10.24,1,106,241,15.62,2
10.27,1,116,248,15.53,2
10.3,1,141,264,16.53,2
10.34,1,156,272,17.08,2
10.37,1,173,279,17.7,2
10.4,1,212,291,19.16,2
10.43,1,234,295,19.35,2
10.46,1,257,298,19.81,2
10.49,1,280,298,19.65,2
10.52,1,304,297,19.78,2
10.55,1,353,290,19.52,2
10.59,1,377,283,19.31,2
10.62,1,399,276,19.07,2
10.64,1,441,258,19.3,2
10.68,1,459,248,19.32,2
10.71,1,475,238,19.3,2
10.74,1,490,229,19.35,2
10.77,1,514,211,19.42,2
10.8,1,522,204,19.51,2
10.84,1,529,198,19.81,2
10.87,1,534,193,19.85,2
10.9,1,539,188,20.11,2
10.93,1,539,188,20.16,2
10.97,1,537,190,20.11,2
11.0,1,528,198,19.83,2
11.02,1,520,204,19.96,2
11.06,1,511,212,19.83,2
11.09,1,500,221,19.84,2
11.12,1,486,230,19.93,2
11.15,1,453,250,19.74,2
11.19,1,435,260,19.83,2
11.22,1,414,269,19.92,2
11.25,1,369,285,19.93,2
11.28,1,345,291,19.96,2
11.31,1,321,295,20.08,2
11.34,1,274,299,19.93,2
11.37,1,252,298,19.81,2
11.4,1,230,295,19.33,2
11.43,1,209,291,19.01,2
11.47,1,191,287,18.67,2
11.5,1,158,274,17.24,2
11.52,1,144,267,16.64,2
11.56,1,132,260,16.23,2
11.59,1,122,253,16.1,2
11.62,1,113,247,15.7,2
11.65,1,100,235,15.4,2
11.69,1,95,231,15.0,2
11.72,1,92,227,14.71,2
11.75,1,89,224,14.87,2
11.78,1,89,224,14.71,2
11.82,1,91,225,14.71,2
11.85,1,97,231,15.12,2
11.89,1,102,235,15.12,2
11.92,1,116,247,15.7,2
11.96,1,125,253,15.95,2
11.99,1,136,260,16.01,2
12.02,1,148,267,16.23,2
12.05,1,178,281,17.49,2
