Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,1,528,203,19.91,2
0.06,1,571,158,21.4,2
0.13,1,592,117,17.95,2
0.19,0,-1,-1,0,2
0.25,0,-1,-1,0,2
0.3,0,-1,-1,0,2
0.34,0,-1,-1,0,2
0.38,0,-1,-1,0,2
0.42,0,-1,-1,0,2
0.45,0,-1,-1,0,2
0.47,0,-1,-1,0,2
0.51,1,591,118,18.44,2
0.54,1,584,137,22.1,2
0.57,1,568,159,22.3,2
0.6,1,549,181,22.8,2
0.63,1,524,205,20.55,2
0.66,1,463,248,19.56,2
0.69,1,427,266,19.91,2
0.72,1,388,281,20.43,2
0.75,1,347,292,20.9,2
0.78,1,265,299,22.68,2
0.81,1,226,296,22.21,2
0.84,1,189,289,21.21,2
0.87,1,155,278,19.33,2
0.9,1,124,265,18.03,2
0.95,1,74,232,15.36,2
0.98,1,54,213,14.61,2
1.02,1,26,177,14.08,2
1.07,1,9,144,13.33,2
1.11,0,4,116,9.71,2
1.15,0,2,97,5.59,2
1.19,0,2,92,5.39,2
1.23,0,1,89,4.74,2
1.27,0,1,90,5.39,2
1.31,0,3,100,6.71,2
1.35,0,3,110,9.12,2
1.39,1,7,136,12.72,2
1.42,1,12,153,14.84,2
1.45,1,21,169,14.31,2
1.48,1,33,187,14.62,2
1.52,1,66,225,15.29,2
1.55,1,89,243,16.2,2
1.58,1,115,259,18.12,2
1.61,1,177,286,20.74,2
1.65,1,212,294,21.81,2
1.68,1,250,299,22.28,2
1.71,1,327,295,20.75,2
1.74,1,365,288,20.25,2
1.78,1,401,277,19.31,2
1.81,1,467,247,18.48,2
1.84,1,495,229,18.72,2
1.87,1,519,210,19.14,2
1.9,1,541,190,20.23,2
1.93,1,559,172,21.01,2
1.96,1,584,138,20.18,2
2.0,1,589,124,18.3,2
2.03,1,593,111,16.62,2
2.06,0,-1,-1,0,2
2.09,0,-1,-1,0,2
2.12,0,-1,-1,0,2
2.15,0,-1,-1,0,2
2.18,0,-1,-1,0,2
2.21,0,-1,-1,0,2
2.25,1,596,99,12.59,2
2.28,1,593,110,17.03,2
2.31,1,584,137,21.01,2
2.34,1,573,154,21.22,2
2.37,1,559,171,21.93,2
2.4,1,540,190,20.96,2
2.43,1,518,210,19.91,2
2.46,1,464,247,19.42,2
2.49,1,432,264,19.48,2
2.53,1,363,288,20.25,2
2.56,1,325,295,21.03,2
2.59,1,288,299,21.51,2
2.63,1,252,299,21.71,2
2.66,1,183,287,20.28,2
2.69,1,153,277,19.14,2
2.72,1,126,265,18.2,2
2.76,1,81,237,15.44,2
2.79,1,63,221,14.77,2
2.83,1,48,206,14.75,2
2.86,1,26,177,14.45,2
2.89,1,18,164,14.42,2
2.93,1,12,153,15.26,2
