Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,1,6,130,13.82,2
0.1,0,1,78,3.16,2
0.17,0,-1,-1,0,2
0.25,0,1,35,2.69,2
0.3,0,1,41,2.69,2
0.34,0,1,59,4.12,2
0.37,0,2,87,6.8,2
0.4,1,3,105,10.55,2
0.44,1,6,126,14.22,2
0.47,1,10,148,16.23,2
0.5,1,22,171,15.83,2
0.53,1,58,217,17.42,2
0.56,1,84,239,19.04,2
0.59,1,113,258,21.02,2
0.62,1,147,275,22.94,2
0.66,1,225,297,23.84,2
0.69,1,267,300,23.77,2
0.72,1,311,298,22.95,2
0.75,1,394,279,21.36,2
0.78,1,433,264,20.52,2
0.81,1,468,245,20.25,2
0.84,1,500,224,20.11,2
0.87,1,527,202,20.7,2
0.9,1,569,158,21.8,2
0.93,1,584,136,21.59,2
0.96,1,591,117,18.44,2
0.99,1,596,100,13.09,2
1.02,0,-1,-1,0,2
1.05,0,-1,-1,0,2
1.08,0,-1,-1,0,2
1.12,0,-1,-1,0,2
1.15,0,-1,-1,0,2
1.18,0,-1,-1,0,2
1.21,0,-1,-1,0,2
1.24,0,-1,-1,0,2
1.27,0,-1,-1,0,2
1.31,0,-1,-1,0,2
1.34,1,595,99,15.07,2
1.37,1,590,116,19.17,2
1.4,1,567,158,22.41,2
1.44,1,548,179,23.71,2
1.47,1,524,204,21.26,2
1.5,1,495,226,20.81,2
1.53,1,427,266,21.03,2
1.56,1,389,280,21.69,2
1.59,1,349,291,22.33,2
1.62,1,308,298,22.68,2
1.65,1,227,296,22.68,2
1.68,1,190,289,22.38,2
1.71,1,156,278,21.05,2
1.74,1,125,264,19.78,2
1.78,1,74,232,16.97,2
1.81,1,54,213,16.04,2
1.84,1,38,195,15.73,2
1.87,1,14,160,15.98,2
1.9,1,9,143,14.79,2
1.94,1,6,128,13.22,2
1.97,1,4,115,11.1,2
2.0,0,3,103,7.58,2
2.03,0,1,91,5.1,2
2.06,0,1,88,5.1,2
2.09,0,1,87,4.61,2
2.12,0,2,92,5.7,2
2.15,0,2,98,6.8,2
2.19,0,3,108,9.12,2
2.22,1,4,120,12.17,2
2.25,1,7,134,13.68,2
2.28,1,19,167,15.92,2
2.31,1,31,185,16.37,2
2.34,1,46,204,16.33,2
2.37,1,88,242,18.41,2
