Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,1,21,167,15.4,2
0.1,1,4,105,10.61,2
0.16,0,1,62,5.1,2
0.24,0,1,39,5.1,2
0.3,0,2,36,5.7,2
0.34,0,2,45,7.28,2
0.38,0,2,65,8.63,2
0.42,0,3,80,9.71,2
0.45,1,6,116,13.73,2
0.48,1,10,137,15.89,2
0.51,1,18,159,16.18,2
0.54,1,48,204,17.5,2
0.57,1,70,226,18.87,2
0.6,1,97,247,20.36,2
0.63,1,127,266,22.94,2
0.66,1,162,281,23.25,2
0.7,1,200,292,24.74,2
0.72,1,241,299,24.42,2
0.76,1,327,297,22.61,2
0.79,1,369,288,21.66,2
0.82,1,409,274,21.03,2
0.85,1,447,258,20.52,2
0.88,1,511,216,20.81,2
0.91,1,538,193,21.64,2
0.94,1,560,170,23.14,2
0.98,1,578,150,22.22,2
1.0,1,594,110,16.07,2
1.04,0,-1,-1,0,2
1.07,0,-1,-1,0,2
1.1,0,-1,-1,0,2
1.13,0,-1,-1,0,2
1.16,0,-1,-1,0,2
1.19,0,-1,-1,0,2
1.22,0,-1,-1,0,2
1.26,0,-1,-1,0,2
1.3,0,-1,-1,0,2
1.35,0,-1,-1,0,2
1.38,1,595,104,13.54,2
1.42,1,590,121,19.61,2
1.46,1,565,164,22.8,2
1.5,1,517,211,21.71,2
1.54,1,487,234,21.4,2
1.57,1,416,272,21.48,2
1.61,1,376,285,21.93,2
1.67,1,294,299,22.68,2
1.7,1,215,295,23.16,2
1.74,1,179,287,22.83,2
1.77,1,146,275,21.83,2
1.8,1,92,244,18.44,2
1.83,1,70,227,17.49,2
1.86,1,51,208,16.4,2
1.9,1,26,173,15.87,2
1.93,1,16,157,15.75,2
1.96,1,10,141,15.74,2
1.99,1,8,128,13.83,2
2.02,1,6,116,12.85,2
2.05,1,4,99,11.1,2
2.08,1,4,94,10.2,2
2.11,1,3,92,10.11,2
2.15,1,4,95,11.05,2
2.19,1,4,100,11.6,2
2.22,1,5,107,12.2,2
2.25,1,9,130,14.62,2
2.28,1,12,144,16.32,2
2.32,1,19,160,16.04,2
2.35,1,42,195,16.3,2
2.37,1,57,214,17.2,2
2.41,1,78,232,18.56,2
