Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,1,252,298,21.97,2
0.12,1,76,232,14.58,2
0.19,1,37,190,12.85,2
0.25,1,8,128,11.47,2
0.31,0,3,93,9.22,2
0.35,0,3,68,8.14,2
0.39,0,3,51,9.06,2
0.42,0,3,47,9.12,2
0.45,0,3,46,9.62,2
0.48,0,3,49,9.71,2
0.51,1,4,63,10.2,2
0.54,1,4,73,10.61,2
0.57,1,4,86,10.69,2
0.6,1,6,103,10.89,2
0.63,1,8,121,12.04,2
0.66,1,25,161,12.11,2
0.7,1,38,182,12.66,2
0.73,1,54,205,13.46,2
0.76,1,75,227,14.78,2
0.79,1,130,265,17.56,2
0.82,1,163,279,18.97,2
0.85,1,200,291,20.13,2
0.88,1,240,297,21.48,2
0.92,1,324,296,20.27,2
0.95,1,366,288,19.45,2
0.98,1,406,275,18.79,2
1.01,1,479,240,19.01,2
1.04,1,510,218,19.61,2
1.08,1,538,195,20.7,2
1.11,1,561,172,22.37,2
1.13,1,579,151,21.86,2
1.16,1,595,111,14.58,2
1.2,0,-1,-1,0,2
1.23,0,-1,-1,0,2
1.26,0,-1,-1,0,2
1.29,0,-1,-1,0,2
1.32,0,-1,-1,0,2
1.35,0,-1,-1,0,2
1.38,0,-1,-1,0,2
1.41,0,-1,-1,0,2
1.45,0,-1,-1,0,2
1.48,0,-1,-1,0,2
1.51,0,-1,-1,0,2
1.54,1,596,104,10.05,2
1.57,1,591,121,18.83,2
1.6,1,583,142,22.5,2
1.63,1,566,164,22.65,2
1.67,1,518,212,20.63,2
1.7,1,487,234,19.83,2
1.73,1,453,254,19.42,2
1.76,1,416,271,19.48,2
1.79,1,336,294,20.08,2
1.82,1,295,299,20.74,2
1.85,1,256,298,20.91,2
1.88,1,218,294,20.8,2
1.92,1,151,274,17.87,2
1.95,1,123,261,16.29,2
1.98,1,97,245,14.87,2
2.01,1,58,211,13.12,2
2.04,1,43,193,12.77,2
2.08,1,32,176,12.53,2
2.11,1,16,145,12.35,2
2.14,1,11,132,12.97,2
2.17,1,8,120,11.9,2
2.2,1,6,111,10.8,2
2.23,1,6,104,10.6,2
2.27,1,5,96,10.12,2
2.32,1,5,99,10.68,2
2.36,1,6,112,11.35,2
2.39,1,8,122,11.9,2
2.43,1,11,134,13.2,2
2.46,1,25,163,12.78,2
2.49,1,35,180,12.85,2
2.52,1,47,198,13.0,2
2.55,1,63,216,13.15,2
2.59,1,83,234,14.58,2
2.62,1,132,266,17.01,2
2.65,1,162,279,18.67,2
2.68,1,194,289,19.65,2
2.71,1,266,299,20.89,2
2.75,1,304,298,20.13,2
2.78,1,342,293,19.45,2
2.81,1,379,284,19.04,2
2.84,1,448,257,18.81,2
2.87,1,479,240,18.78,2
2.9,1,506,221,19.3,2
2.93,1,530,202,19.83,2
2.97,1,568,164,20.94,2
3.0,1,582,147,20.81,2
3.03,1,588,131,19.7,2
3.06,1,596,105,12.04,2
3.09,0,-1,-1,0,2
3.12,0,-1,-1,0,2
3.16,0,-1,-1,0,2
3.18,0,-1,-1,0,2
3.22,0,-1,-1,0,2
3.25,0,-1,-1,0,2
3.28,0,-1,-1,0,2
3.31,1,594,113,16.07,2
