Time (s),Detected,X,Y,Radius (px),Distance (m)
0.0,1,99,248,19.83,2
0.1,1,243,299,24.25,2
0.16,1,371,287,21.83,2
0.23,1,483,237,20.41,2
0.28,1,540,191,22.2,2
0.33,1,580,147,22.21,2
0.36,1,589,126,19.45,2
0.39,1,595,107,14.08,2
0.43,0,-1,-1,0,2
0.45,0,-1,-1,0,2
0.48,0,-1,-1,0,2
0.52,0,-1,-1,0,2
0.55,0,-1,-1,0,2
0.58,0,-1,-1,0,2
0.61,0,-1,-1,0,2
0.64,0,-1,-1,0,2
0.68,0,-1,-1,0,2
0.7,0,-1,-1,0,2
0.73,0,-1,-1,0,2
0.77,1,596,102,11.54,2
0.8,1,591,120,18.82,2
0.82,1,565,163,22.9,2
0.85,1,544,186,23.76,2
0.89,1,517,211,21.8,2
0.92,1,487,234,21.1,2
0.95,1,452,254,21.51,2
0.98,1,374,286,22.19,2
1.0,1,333,295,22.77,2
1.04,1,292,299,22.85,2
1.07,1,213,294,23.05,2
1.1,1,177,286,22.67,2
1.13,1,145,274,21.51,2
1.17,1,116,259,19.78,2
1.19,1,92,243,17.48,2
1.22,1,52,208,16.09,2
1.25,1,38,190,15.43,2
1.29,1,27,172,15.29,2
1.32,1,19,156,15.24,2
1.35,1,12,141,15.81,2
1.38,1,7,116,13.13,2
1.41,1,6,107,12.51,2
1.44,1,5,100,11.71,2
1.47,1,5,95,11.28,2
1.5,1,5,93,11.28,2
1.53,1,5,96,11.77,2
1.56,1,6,101,12.5,2
1.59,1,7,109,13.13,2
1.62,1,8,119,13.74,2
1.65,1,15,145,15.12,2
1.68,1,23,161,15.42,2
1.71,1,33,178,15.72,2
1.74,1,45,196,15.88,2
1.78,1,80,232,17.47,2
1.81,1,103,249,19.04,2
1.84,1,129,265,20.82,2
1.88,1,192,290,22.68,2
1.91,1,228,297,22.87,2
1.94,1,265,300,23.16,2
1.97,1,304,299,22.46,2
2.0,1,379,284,20.89,2
2.04,1,415,272,20.43,2
2.07,1,448,257,20.11,2
2.1,1,479,239,20.12,2
2.13,1,530,201,20.62,2
2.17,1,551,180,22.5,2
2.19,1,568,163,21.32,2
2.23,1,589,129,18.85,2
2.26,1,593,115,16.62,2
2.3,1,597,102,10.05,2
2.33,0,-1,-1,0,2
2.36,0,-1,-1,0,2
2.4,0,-1,-1,0,2
2.43,0,-1,-1,0,2
2.47,0,-1,-1,0,2
2.5,0,-1,-1,0,2
2.54,1,595,109,15.07,2
2.57,1,590,123,18.42,2
2.6,1,573,157,22.2,2
2.63,1,557,174,23.38,2
2.66,1,536,195,21.73,2
2.7,1,512,216,21.26,2
2.73,1,454,253,20.67,2
2.76,1,421,269,21.12,2
2.79,1,385,282,21.48,2
2.82,1,312,298,22.46,2
2.85,1,275,300,22.81,2
2.88,1,239,298,22.63,2
2.92,1,205,293,22.38,2
2.95,1,174,284,21.75,2
2.98,1,120,261,19.17,2
3.01,1,99,247,17.69,2
3.04,1,80,232,16.81,2
3.08,1,50,202,15.71,2
3.11,1,39,188,15.58,2
3.14,1,32,175,15.62,2
3.17,1,25,163,15.53,2
3.21,1,16,145,15.12,2
3.24,1,13,138,16.12,2
3.27,1,12,134,16.1,2
3.3,1,12,132,16.1,2
3.34,1,12,134,16.23,2
3.37,1,17,144,15.12,2
3.4,1,21,153,15.41,2
3.43,1,26,163,15.43,2
3.46,1,33,174,15.4,2
3.49,1,41,188,15.44,2
3.52,1,52,202,15.78,2
3.55,1,82,233,16.9,2
3.59,1,102,247,18.18,2
3.62,1,124,261,19.5,2
3.65,1,149,274,21.19,2
3.68,1,208,293,22.28,2
