Timestamp,Detected,X,Y,Radius (px)
0.042,0,-1,-1,-1
0.392,0,-1,-1,-1
0.441,0,-1,-1,-1
0.495,0,-1,-1,-1
0.541,0,-1,-1,-1
0.579,0,-1,-1,-1
0.625,0,-1,-1,-1
0.661,0,-1,-1,-1
0.694,0,-1,-1,-1
0.724,0,-1,-1,-1
0.757,0,-1,-1,-1
0.787,0,-1,-1,-1
0.815,0,-1,-1,-1
0.842,1,462,49,76
0.876,1,462,226,228
0.909,1,486,424,56
0.937,0,-1,-1,-1
0.968,0,-1,-1,-1
1.0,0,-1,-1,-1
